Age,Gender,Location,Monthly_Bill,Total_Usage_GB,Churn,year,month
37,Female,Los Angeles,74.99,214,0,0,1
62,Female,Houston,43.42,329,0,0,6
26,Female,Miami,70.83,50,1,0,11
38,Male,Los Angeles,34.06,444,1,1,9
25,Male,Houston,58.42,113,0,0,9
40,Female,Los Angeles,93.09,76,1,1,8
47,Female,Houston,89.24,134,0,1,2
21,Male,Miami,97.97,184,1,1,10
27,Male,Los Angeles,98.2,319,0,1,6
24,Male,Miami,37.5,235,0,1,9
33,Male,Los Angeles,83.74,85,0,0,2
51,Male,Houston,82.58,332,1,0,1
48,Female,Houston,83.84,73,1,1,11
35,Female,Miami,47.9,184,0,1,1
24,Male,Chicago,87.1,369,1,1,10
33,Female,Los Angeles,70.27,308,1,0,3
44,Male,Los Angeles,73.86,446,0,1,9
69,Female,New York,35.13,321,0,0,8
21,Female,Los Angeles,55.84,83,0,1,5
21,Male,New York,72.41,371,0,1,6
50,Male,Houston,49.0,114,0,0,10
20,Female,Miami,49.22,296,1,1,4
42,Male,Houston,73.36,102,0,1,2
61,Female,New York,86.3,215,0,1,10
31,Female,Chicago,49.1,169,0,2,0
67,Male,Chicago,45.59,115,1,1,3
53,Female,Chicago,49.5,225,1,0,4
40,Male,New York,85.3,140,1,1,5
61,Female,Miami,56.0,278,1,1,8
52,Male,Miami,95.85,84,0,1,5
39,Male,Houston,66.71,463,1,0,3
46,Female,Los Angeles,51.08,402,1,0,9
56,Male,New York,46.34,468,0,0,2
59,Male,Chicago,30.93,375,1,1,8
62,Female,Chicago,55.59,366,1,0,2
59,Male,Los Angeles,53.26,404,1,0,6
65,Female,Chicago,31.35,471,0,1,3
44,Female,Los Angeles,70.78,204,1,0,2
52,Male,Chicago,42.33,320,0,0,1
26,Male,Los Angeles,99.3,178,1,1,0
40,Male,Los Angeles,82.81,214,1,1,6
45,Female,Los Angeles,80.72,149,0,0,6
59,Male,New York,49.35,361,1,0,8
60,Male,Houston,72.78,304,1,0,10
70,Male,New York,34.53,236,0,2,0
63,Female,Houston,66.79,150,0,0,11
22,Female,New York,60.71,281,1,0,9
55,Male,Los Angeles,34.78,177,0,1,8
40,Male,Houston,38.71,117,0,0,8
63,Male,Los Angeles,48.51,137,1,1,2
63,Male,Miami,97.71,322,0,0,9
28,Female,Los Angeles,61.14,427,0,0,5
26,Female,Miami,62.0,403,1,1,9
57,Male,Houston,36.89,237,0,1,6
43,Male,Los Angeles,74.7,439,1,0,6
49,Male,Houston,90.88,336,1,1,10
67,Female,Chicago,39.68,344,0,0,5
30,Female,Miami,55.16,288,0,0,3
42,Male,New York,63.77,102,0,1,10
28,Female,Chicago,58.53,257,1,1,3
69,Female,Chicago,87.5,196,1,0,9
66,Male,Houston,71.4,365,0,0,9
49,Male,Houston,37.98,419,1,0,1
26,Male,New York,31.65,215,0,1,10
40,Male,Chicago,66.53,111,1,1,6
29,Female,Houston,68.82,113,1,1,4
48,Male,Houston,43.93,427,0,0,5
31,Female,New York,79.23,344,1,0,4
39,Male,Chicago,77.82,192,0,0,8
46,Male,New York,38.16,244,1,1,7
56,Male,Miami,40.95,287,0,0,7
27,Female,Chicago,57.12,395,0,1,9
54,Male,Houston,34.12,213,1,0,8
45,Male,Chicago,82.95,109,1,1,1
43,Male,Houston,65.57,140,0,1,3
19,Male,Los Angeles,43.17,286,0,0,1
46,Male,Los Angeles,61.6,283,1,0,4
18,Female,Chicago,40.93,230,1,1,0
41,Male,New York,87.74,192,0,1,10
56,Female,Chicago,82.51,491,0,0,6
40,Male,Chicago,79.86,274,1,0,4
61,Female,Chicago,98.9,335,1,0,2
37,Male,Houston,40.67,462,1,1,0
27,Female,Los Angeles,84.66,101,0,1,0
49,Male,Houston,44.74,369,0,1,0
19,Female,Houston,64.1,442,1,1,1
50,Female,Houston,81.84,407,0,1,9
41,Male,Houston,92.06,126,1,0,8
52,Female,Houston,90.9,396,0,1,8
50,Female,Houston,41.24,64,0,1,11
68,Male,New York,92.9,199,1,0,7
41,Female,Miami,80.3,351,1,1,9
26,Male,New York,87.42,261,0,1,11
52,Female,Houston,38.11,376,0,0,3
37,Female,Chicago,63.78,321,1,1,2
68,Female,Miami,40.9,496,0,0,5
22,Female,Miami,64.04,89,1,0,10
48,Male,Los Angeles,36.44,162,1,0,10
33,Male,Chicago,70.28,480,1,1,3
66,Male,Houston,35.34,400,1,1,8
33,Female,Houston,95.13,320,0,0,1
35,Female,Los Angeles,36.48,303,1,0,3
19,Female,Houston,89.65,197,0,0,10
56,Female,Miami,56.81,218,0,1,6
54,Female,Miami,86.68,225,1,0,2
53,Male,Houston,47.57,134,0,0,10
34,Male,New York,65.08,181,0,0,1
66,Female,Houston,71.73,231,0,1,9
39,Female,Houston,39.55,474,0,0,11
53,Male,Los Angeles,44.07,348,0,1,5
31,Male,Los Angeles,35.29,112,1,1,9
41,Female,Chicago,67.09,419,1,1,1
61,Female,Houston,66.52,457,0,1,11
34,Male,Houston,46.49,54,1,0,4
61,Female,Chicago,54.37,122,0,1,1
26,Male,New York,92.47,397,1,0,2
70,Female,Houston,42.26,100,1,0,6
54,Female,Miami,56.44,463,1,0,3
52,Female,New York,75.12,318,1,1,5
35,Female,Chicago,86.55,242,1,1,8
18,Male,Houston,74.14,327,0,0,3
56,Female,Los Angeles,97.94,84,1,0,10
62,Female,Houston,82.82,476,0,1,8
62,Male,New York,85.73,256,0,0,4
37,Male,Los Angeles,58.81,241,1,1,3
24,Female,Houston,77.85,466,0,2,0
32,Female,Chicago,44.58,438,1,0,1
27,Female,Houston,66.4,51,1,0,4
43,Female,Los Angeles,55.18,165,1,0,1
53,Female,Chicago,79.66,120,1,0,11
46,Female,Houston,96.75,493,1,0,1
43,Female,Chicago,84.36,150,1,0,1
64,Male,Los Angeles,56.53,59,0,1,3
29,Male,Los Angeles,98.2,188,0,0,7
54,Male,New York,72.36,339,1,0,5
60,Female,Miami,97.06,167,1,1,6
37,Female,Houston,57.34,120,1,0,10
24,Female,Chicago,30.52,371,0,1,8
64,Female,New York,79.41,114,0,1,10
29,Female,Chicago,89.42,236,0,0,2
50,Male,Los Angeles,56.3,114,0,1,7
59,Female,New York,48.14,301,1,0,1
21,Female,Houston,66.9,209,0,0,2
65,Male,Chicago,93.59,311,0,1,7
42,Female,Chicago,78.06,236,0,0,8
32,Male,Los Angeles,72.83,496,0,0,9
51,Male,Chicago,95.01,429,0,1,9
40,Male,New York,45.87,459,0,2,0
62,Male,Los Angeles,77.0,305,1,1,2
55,Male,Chicago,47.48,190,0,0,3
49,Male,Houston,72.62,345,0,0,7
32,Male,Miami,75.84,284,1,0,8
66,Female,New York,87.64,390,1,1,4
47,Male,New York,36.66,438,0,1,3
20,Female,Chicago,51.26,72,1,0,3
69,Male,Los Angeles,82.39,115,1,1,9
22,Male,Houston,40.33,258,0,0,2
34,Female,Miami,41.54,358,1,0,7
60,Female,Houston,40.33,442,1,0,9
55,Female,Los Angeles,52.33,136,1,1,1
37,Male,Chicago,36.1,280,1,0,11
23,Male,Miami,36.47,55,1,0,4
28,Female,Miami,30.87,309,1,1,6
48,Male,Los Angeles,72.26,266,1,0,3
35,Male,Chicago,35.75,388,0,1,10
62,Male,Chicago,34.96,345,0,1,3
59,Female,Los Angeles,87.68,52,0,0,11
61,Male,New York,34.31,478,1,0,5
33,Male,Chicago,45.49,401,1,1,8
21,Female,New York,48.99,472,1,0,2
68,Male,Miami,60.59,269,0,2,0
19,Female,Miami,75.56,65,0,1,6
21,Male,New York,33.65,163,0,0,10
30,Male,New York,32.33,383,1,1,1
67,Female,New York,50.04,488,1,0,1
70,Male,Miami,93.55,497,1,2,0
48,Male,Chicago,83.53,71,1,0,11
63,Male,New York,41.08,216,0,1,7
53,Male,Houston,88.15,229,1,1,10
60,Female,Los Angeles,38.39,115,1,1,2
69,Male,Los Angeles,90.34,271,1,0,3
56,Female,New York,65.68,223,0,0,6
29,Male,Houston,92.34,263,1,1,3
20,Female,Chicago,95.27,255,1,1,4
55,Male,Los Angeles,87.95,145,1,1,9
52,Female,Los Angeles,77.27,203,0,1,3
68,Female,Houston,32.89,76,0,1,4
26,Female,Houston,88.11,336,1,1,2
51,Male,Houston,52.3,372,0,1,2
45,Male,Houston,64.6,443,0,0,2
30,Female,Los Angeles,33.36,306,0,0,10
57,Male,Miami,49.48,307,0,1,10
63,Male,Miami,81.12,395,0,0,3
70,Female,Miami,75.99,73,0,1,3
18,Male,Los Angeles,85.42,491,0,1,2
22,Female,Los Angeles,82.8,136,0,0,2
19,Male,Los Angeles,44.98,427,1,2,0
34,Male,Los Angeles,81.4,386,1,0,4
22,Female,Houston,88.11,256,1,0,4
44,Female,Chicago,81.28,448,0,1,7
63,Male,Houston,89.61,377,1,0,5
35,Male,Los Angeles,30.93,482,1,1,1
47,Male,Miami,73.12,324,1,1,10
19,Male,Miami,59.27,357,1,1,2
62,Male,Chicago,65.15,187,1,0,5
47,Female,Chicago,74.76,397,0,1,7
20,Female,Los Angeles,36.36,394,1,1,10
42,Female,Houston,82.02,123,0,2,0
68,Male,Los Angeles,49.44,149,1,1,9
42,Male,Houston,36.5,303,0,0,11
55,Male,Houston,46.37,106,0,1,1
48,Female,Houston,70.57,296,1,1,10
38,Male,Houston,55.97,463,1,0,4
44,Female,Los Angeles,35.46,80,0,0,9
70,Female,New York,74.1,211,1,0,3
41,Female,New York,62.21,460,1,1,1
36,Male,New York,33.98,78,1,0,4
61,Male,New York,97.86,499,0,1,3
60,Male,Miami,89.4,357,1,0,2
33,Female,Miami,89.1,498,1,2,0
38,Male,New York,48.84,424,1,1,2
59,Male,Chicago,71.04,204,1,0,8
38,Female,Houston,42.76,407,1,1,5
64,Male,Los Angeles,53.0,325,1,0,10
35,Male,Miami,34.75,119,0,0,1
63,Male,Los Angeles,39.25,143,0,0,4
41,Male,Houston,68.08,71,1,1,5
46,Female,New York,68.87,153,1,1,8
55,Female,Los Angeles,67.92,109,0,0,4
29,Female,New York,65.48,295,1,0,1
45,Female,Chicago,46.32,369,0,0,3
35,Male,Chicago,46.19,437,0,0,4
49,Female,Chicago,48.09,492,0,2,0
47,Female,Los Angeles,52.19,406,0,0,6
34,Female,Chicago,58.2,69,0,0,7
31,Female,Los Angeles,52.01,397,0,1,6
20,Male,Los Angeles,59.74,272,0,0,5
28,Male,New York,89.31,327,1,0,6
43,Female,Houston,66.76,352,1,1,7
22,Male,Miami,59.96,125,1,2,0
65,Male,Miami,40.35,488,1,0,9
22,Male,New York,33.01,112,0,1,11
52,Female,Houston,44.29,184,0,0,1
49,Female,Houston,47.28,69,1,0,7
68,Male,Los Angeles,81.03,82,1,1,4
31,Female,Houston,36.75,160,1,0,9
57,Male,Chicago,87.93,162,1,1,9
55,Male,Houston,49.53,333,0,0,9
41,Female,Chicago,98.39,104,1,0,8
52,Male,Miami,67.9,247,0,0,7
18,Female,Los Angeles,52.46,411,1,1,5
52,Female,Miami,82.98,286,0,2,0
61,Male,Chicago,76.62,405,0,0,1
39,Male,Chicago,88.43,353,1,1,3
55,Female,Miami,58.5,63,1,0,9
51,Female,Houston,93.41,184,1,0,9
26,Female,Los Angeles,94.35,253,0,1,4
21,Male,New York,73.27,301,1,1,4
62,Female,Los Angeles,49.08,229,1,1,9
67,Female,Chicago,88.86,405,0,0,1
35,Male,Los Angeles,64.93,289,0,1,10
48,Female,Houston,50.54,88,0,1,8
25,Female,New York,72.89,101,0,0,11
30,Male,New York,50.65,239,0,1,3
61,Male,Houston,69.25,102,1,0,10
57,Male,Miami,43.94,346,1,1,3
50,Male,Chicago,67.59,63,1,1,1
69,Female,Los Angeles,53.13,446,1,1,0
53,Male,Los Angeles,56.49,185,0,2,0
41,Male,Houston,51.23,91,0,0,2
54,Female,Chicago,56.82,232,0,1,7
37,Male,New York,56.14,385,1,0,3
54,Female,Miami,93.26,380,0,0,4
27,Female,Houston,84.76,431,0,2,0
68,Female,Chicago,69.57,419,1,0,6
32,Female,Miami,35.8,364,1,1,5
35,Female,Los Angeles,89.84,79,0,0,11
56,Male,Miami,76.02,300,1,1,1
23,Male,Miami,63.78,411,0,1,9
53,Female,Chicago,59.26,374,1,0,2
52,Female,Chicago,35.54,86,0,1,5
23,Female,Miami,69.35,457,0,0,10
64,Female,Los Angeles,53.43,233,1,0,8
65,Female,Houston,86.01,192,1,0,3
46,Male,Los Angeles,99.44,290,0,1,3
37,Female,New York,46.55,59,1,0,8
48,Male,Miami,37.17,243,0,0,3
35,Male,Chicago,77.75,265,0,1,3
28,Female,New York,85.92,433,1,1,8
69,Female,Los Angeles,98.93,469,0,1,8
66,Male,Miami,94.58,453,0,1,2
47,Male,Houston,35.97,224,1,1,1
59,Female,Miami,77.31,421,1,1,4
34,Male,New York,82.44,251,0,1,8
31,Female,Los Angeles,34.17,485,0,0,10
32,Female,Los Angeles,70.9,180,1,2,0
19,Female,Chicago,31.32,50,0,1,1
44,Male,Miami,91.81,185,1,0,1
53,Male,Houston,56.24,400,1,0,3
45,Male,New York,81.66,306,0,0,2
64,Female,New York,61.34,446,0,0,2
34,Female,Miami,36.76,171,1,0,11
25,Female,Los Angeles,88.15,364,1,0,8
23,Male,Chicago,38.48,395,0,2,0
64,Female,Chicago,61.82,488,0,1,8
33,Male,Houston,42.86,427,1,1,11
23,Female,Houston,68.72,150,1,1,1
67,Male,Miami,98.38,95,1,1,3
52,Female,Miami,64.03,93,1,0,7
50,Male,Miami,40.65,350,1,1,9
27,Female,New York,88.37,369,0,0,8
65,Female,Chicago,33.59,58,0,0,8
51,Male,Los Angeles,55.14,304,0,2,0
56,Female,Miami,37.15,394,1,1,1
56,Female,Miami,61.2,58,1,0,1
33,Male,New York,77.65,200,0,1,0
25,Male,Los Angeles,96.44,420,1,0,3
64,Female,Los Angeles,47.48,132,0,0,2
43,Male,Houston,96.22,76,0,1,9
48,Male,Los Angeles,82.72,104,0,0,8
29,Female,Miami,46.33,476,1,0,10
50,Female,Miami,41.68,160,1,0,3
44,Male,Houston,87.05,181,0,1,2
48,Male,New York,31.63,428,1,0,1
40,Female,Miami,67.72,58,0,0,11
61,Female,New York,51.66,243,0,0,9
56,Female,New York,90.54,479,1,1,6
53,Male,New York,35.35,183,0,1,7
34,Female,Miami,75.58,274,0,0,2
60,Female,Los Angeles,81.98,96,1,2,0
30,Female,Chicago,50.35,103,1,1,10
36,Male,Houston,72.83,129,1,0,1
34,Female,Chicago,48.74,417,0,1,4
31,Female,Chicago,74.35,99,1,2,0
32,Female,New York,87.24,430,0,1,5
58,Female,Miami,37.03,75,0,1,7
36,Male,Houston,74.69,53,1,0,9
57,Female,Chicago,97.51,382,0,1,0
35,Male,Houston,47.8,412,1,1,7
55,Female,Houston,59.97,129,0,1,6
44,Female,Miami,97.04,132,0,1,6
53,Female,New York,91.69,226,0,0,7
24,Male,Chicago,68.7,492,1,1,1
60,Male,Los Angeles,34.26,132,1,0,3
19,Female,Houston,59.3,346,1,1,9
61,Male,Chicago,94.05,320,0,1,5
46,Male,Houston,60.31,268,0,1,10
32,Male,Houston,89.51,410,0,1,9
68,Female,Los Angeles,96.19,94,0,0,2
27,Female,Miami,75.25,315,1,0,3
56,Female,Chicago,34.98,136,1,1,0
52,Male,Miami,33.81,364,0,1,7
20,Male,Miami,59.49,143,0,1,8
46,Male,Chicago,34.14,387,1,2,0
65,Female,Chicago,63.56,410,0,1,10
52,Female,New York,64.71,116,1,1,5
42,Female,Los Angeles,59.53,498,1,1,10
62,Female,Chicago,61.32,385,0,1,6
44,Male,Houston,34.11,53,0,1,1
27,Female,Chicago,56.55,493,1,0,4
66,Female,Miami,64.77,489,0,0,5
63,Male,Los Angeles,78.13,380,0,0,9
41,Male,Miami,30.05,108,1,0,3
25,Male,Miami,67.62,184,1,0,6
67,Female,Houston,92.03,208,0,1,3
61,Female,Miami,43.18,387,0,1,8
25,Male,New York,44.33,200,0,1,11
60,Male,Los Angeles,86.32,442,0,1,3
39,Female,Los Angeles,94.42,313,1,1,1
65,Male,Los Angeles,82.08,89,0,1,3
59,Female,Los Angeles,41.99,127,0,1,1
65,Female,Houston,95.71,393,1,1,7
59,Male,Chicago,37.42,222,1,1,4
66,Male,New York,61.34,297,1,0,8
63,Male,Houston,75.18,451,1,1,8
49,Female,Los Angeles,49.44,493,1,1,4
30,Male,Chicago,49.57,56,0,2,0
43,Male,Chicago,53.56,298,1,0,11
24,Female,Houston,31.99,394,0,1,4
30,Male,Los Angeles,92.0,366,0,1,2
21,Female,Houston,51.63,58,1,2,0
48,Female,Chicago,44.59,498,1,0,3
61,Male,Los Angeles,52.91,437,0,1,8
41,Male,Miami,87.23,139,0,1,10
23,Female,New York,85.0,243,1,1,9
41,Female,Houston,33.91,493,0,1,10
31,Male,Chicago,59.5,282,0,0,7
24,Female,Houston,40.16,496,0,1,4
47,Male,Houston,31.74,65,1,0,4
65,Female,Miami,42.28,138,0,1,4
48,Male,Los Angeles,91.53,141,0,0,8
23,Male,Chicago,45.41,184,1,0,8
45,Female,Miami,87.25,393,0,0,11
18,Male,Houston,65.83,156,1,1,0
59,Female,New York,51.76,497,1,1,10
70,Female,Miami,62.49,354,0,0,5
51,Female,Chicago,64.0,428,1,0,1
47,Male,New York,86.48,373,0,1,8
25,Female,Miami,39.65,157,0,0,11
27,Female,New York,71.99,229,1,1,1
43,Female,Los Angeles,53.96,86,0,1,1
39,Male,Los Angeles,47.96,89,1,0,10
38,Female,New York,33.7,397,0,2,0
24,Female,Chicago,90.92,216,0,1,6
56,Male,Chicago,54.84,82,1,0,11
46,Male,Chicago,64.59,467,0,1,7
32,Female,Miami,99.15,143,1,1,1
60,Female,Miami,60.13,68,1,0,3
33,Female,Los Angeles,96.29,351,0,0,1
25,Male,New York,94.12,414,0,0,10
63,Male,Chicago,31.36,223,1,0,1
33,Female,Houston,76.79,101,0,0,11
37,Female,New York,46.3,360,0,1,5
22,Female,Los Angeles,44.5,202,1,1,2
18,Male,Houston,70.78,84,0,1,0
41,Male,Los Angeles,93.64,319,1,1,4
19,Male,Chicago,53.99,144,1,2,0
26,Female,Houston,57.78,79,0,0,8
29,Male,New York,47.46,270,0,1,5
28,Female,New York,58.41,273,0,1,2
59,Female,Chicago,57.08,278,0,1,9
44,Female,New York,54.48,67,0,1,4
39,Male,Chicago,44.5,194,1,0,8
24,Male,Miami,99.34,217,0,0,4
21,Female,Chicago,60.92,350,0,0,1
64,Female,Miami,78.32,189,1,1,5
31,Female,New York,32.62,406,0,1,10
61,Male,Los Angeles,43.54,118,0,0,9
42,Male,Los Angeles,45.46,366,0,1,5
46,Female,Los Angeles,73.66,155,1,0,1
55,Female,Miami,67.73,358,1,0,9
51,Female,Miami,92.89,62,0,1,10
40,Male,Los Angeles,43.55,413,1,0,1
63,Female,New York,94.04,251,0,0,2
24,Female,Miami,30.35,72,0,0,10
54,Female,Chicago,94.05,243,1,0,4
19,Male,Houston,50.82,177,0,1,4
56,Female,Houston,87.7,165,0,1,1
26,Female,Miami,56.59,318,0,1,9
50,Female,Chicago,71.47,198,0,0,7
24,Female,Los Angeles,99.7,154,1,0,9
31,Male,New York,33.1,229,0,0,2
43,Female,Miami,51.22,423,1,0,8
32,Male,Chicago,52.15,466,1,1,7
60,Female,Miami,85.54,295,0,1,9
38,Female,Houston,43.7,306,0,0,10
56,Female,New York,98.93,273,1,0,4
65,Male,Houston,89.22,177,1,0,10
63,Male,Chicago,64.46,202,0,0,4
41,Male,New York,39.06,430,1,0,5
23,Male,Miami,66.34,72,1,0,2
50,Male,Los Angeles,60.11,458,0,2,0
66,Male,Chicago,71.27,449,0,1,9
43,Female,Chicago,54.62,442,1,0,10
52,Male,Houston,89.69,251,1,0,1
35,Female,Chicago,82.1,333,0,1,9
42,Female,New York,82.07,265,1,0,4
59,Female,Houston,38.6,202,0,2,0
57,Male,Miami,30.93,71,0,2,0
31,Male,Chicago,42.7,241,0,1,6
39,Male,New York,79.62,255,1,1,2
55,Female,Houston,35.5,490,1,1,4
18,Male,Miami,60.73,218,0,1,2
42,Female,Miami,47.27,395,0,1,11
41,Male,New York,58.01,464,1,1,2
49,Male,New York,73.87,469,0,1,10
63,Female,Los Angeles,56.31,383,1,1,11
51,Female,Chicago,42.2,379,1,0,5
23,Female,New York,58.89,153,1,1,9
39,Female,Los Angeles,41.61,58,0,1,11
52,Female,Los Angeles,33.07,217,0,1,2
34,Female,Los Angeles,33.58,377,1,1,8
20,Female,Los Angeles,43.27,136,0,1,8
51,Male,Los Angeles,92.27,296,1,1,8
64,Female,Houston,95.56,239,0,1,6
25,Male,Houston,37.13,109,1,0,5
60,Female,Chicago,92.79,499,0,0,2
69,Female,Los Angeles,44.71,254,0,1,4
30,Female,Los Angeles,97.02,333,0,1,4
21,Female,Los Angeles,40.6,131,1,0,11
23,Male,Houston,81.56,76,1,2,0
51,Female,New York,38.52,214,0,1,2
52,Female,Miami,35.43,327,1,2,0
23,Male,Houston,81.29,92,1,0,11
63,Female,New York,69.32,195,1,0,7
45,Female,Miami,60.46,232,1,1,4
50,Male,Los Angeles,47.78,82,0,0,8
29,Male,Los Angeles,50.56,450,0,1,1
35,Male,New York,64.0,203,0,0,11
38,Male,Los Angeles,83.96,450,1,1,6
52,Female,Houston,80.42,127,1,1,8
37,Male,Miami,83.3,391,1,1,6
27,Male,New York,83.69,460,1,2,0
54,Female,Chicago,60.8,347,1,0,7
41,Male,Los Angeles,64.84,488,0,1,4
47,Female,Chicago,41.12,288,0,1,2
62,Male,Houston,71.23,191,1,1,1
63,Male,Chicago,52.75,425,1,1,10
61,Male,Los Angeles,51.42,432,1,0,7
33,Male,Los Angeles,91.3,384,1,0,4
25,Female,Houston,60.57,181,0,0,7
47,Female,Houston,65.19,384,0,1,11
62,Female,Chicago,62.23,407,1,0,8
50,Male,Miami,55.49,57,1,1,0
42,Female,Chicago,32.36,417,0,0,5
36,Female,Houston,72.93,220,1,0,7
56,Female,Chicago,68.44,494,1,1,9
30,Female,Houston,47.79,235,0,1,4
29,Female,New York,51.14,456,1,1,0
45,Male,Los Angeles,32.66,196,1,1,8
70,Male,Houston,58.87,144,1,1,11
20,Male,Los Angeles,38.14,369,0,0,8
54,Male,Los Angeles,63.68,173,1,1,2
37,Female,Miami,38.41,134,1,1,10
48,Male,Houston,43.63,401,0,1,1
19,Male,New York,99.22,148,1,1,2
66,Male,Houston,32.05,403,1,1,8
45,Female,Los Angeles,95.62,429,0,1,6
54,Male,Chicago,47.9,210,1,1,3
52,Female,Los Angeles,39.79,363,1,1,1
42,Female,New York,87.28,169,0,1,1
35,Male,New York,77.85,497,1,0,11
21,Female,Los Angeles,43.83,171,1,1,9
31,Male,Miami,42.75,319,0,0,6
35,Male,Los Angeles,75.22,413,0,0,10
27,Male,Chicago,88.64,216,1,0,6
20,Female,Houston,64.23,130,1,0,8
62,Male,Miami,78.97,288,1,0,3
49,Male,Chicago,99.5,183,1,1,0
68,Male,Houston,85.76,132,1,0,7
61,Male,Chicago,97.13,449,0,1,10
38,Male,Chicago,58.95,487,0,1,4
47,Female,Chicago,59.16,386,1,1,3
36,Female,Miami,63.45,455,0,1,9
62,Male,New York,37.02,485,1,0,1
26,Female,Los Angeles,88.11,191,1,0,1
61,Male,Chicago,86.09,145,1,0,5
44,Female,Chicago,56.69,105,1,0,6
41,Female,Chicago,40.0,399,0,0,9
26,Female,New York,69.58,67,1,0,1
55,Male,Chicago,38.82,323,0,0,3
35,Female,Houston,34.73,73,1,1,6
39,Female,Chicago,77.3,126,0,0,10
35,Female,New York,33.59,282,0,0,9
48,Female,Miami,84.64,360,1,1,1
56,Female,Houston,86.81,61,1,1,9
45,Male,Los Angeles,91.62,428,1,1,9
30,Male,Houston,70.34,204,1,1,2
65,Male,Houston,53.89,172,1,1,0
60,Female,New York,99.87,155,1,2,0
30,Male,Los Angeles,68.63,266,1,1,7
19,Male,Chicago,37.68,195,1,1,2
24,Male,Miami,75.59,447,1,0,3
70,Female,Houston,37.57,225,0,0,3
31,Male,Houston,65.28,311,1,1,2
21,Male,Houston,81.09,423,0,0,2
57,Female,Miami,78.89,109,0,1,9
19,Female,Los Angeles,91.54,104,0,0,5
21,Male,Houston,56.49,341,0,1,4
34,Female,Chicago,48.16,226,1,1,10
67,Female,Miami,82.11,498,1,0,5
24,Female,Houston,68.98,459,0,1,5
56,Male,New York,74.09,303,1,0,7
32,Male,Chicago,49.76,104,1,1,8
42,Male,Los Angeles,91.15,426,0,1,4
53,Female,Houston,55.61,172,0,0,4
27,Male,New York,33.85,145,1,1,5
53,Female,Miami,40.46,240,1,0,11
33,Female,Miami,60.21,354,1,0,2
42,Male,Los Angeles,45.46,369,0,0,5
33,Female,Chicago,46.91,357,1,0,1
37,Female,Miami,53.65,196,0,0,11
56,Female,Houston,38.67,144,1,0,8
48,Male,New York,36.41,190,0,1,3
48,Female,Chicago,80.16,185,1,1,7
